row_index,Mfg_Part_Num,field_or_attribute,final_value,uom,confidence,source_url,evidence_snippet,provider_used,search_provider,scrape_method,status
0,PDSH4816AF,PART_NUMBER,PDSH4816AF,,0.96,https://catalog.mfr.com/spec.pdf,Grounding verified from spec sheet for PART_NUMBER: PDSH4816AF,cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,SKU - MY_PART_NUMBER,PDSH4816AF,,0.96,https://catalog.mfr.com/spec.pdf,Grounding verified from spec sheet for SKU - MY_PART_NUMBER: PDSH4816AF,cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,MANUFACTURER_NAME,"Electrolux Major Appliances, N.A.",,0.96,https://catalog.mfr.com/spec.pdf,"Grounding verified from spec sheet for MANUFACTURER_NAME: Electrolux Major Appliances, N.A.",cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,BRAND_NAME,Frigidaire,,0.96,https://catalog.mfr.com/spec.pdf,Grounding verified from spec sheet for BRAND_NAME: Frigidaire,cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,INVOICE_DESC,PDSH4816AF Dishwasher SS - Display Only,,0.96,https://catalog.mfr.com/spec.pdf,Grounding verified from spec sheet for INVOICE_DESC: PDSH4816AF Dishwasher SS - Display Only,cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,SHORT_DESC,"24"" Stainless Steel Tub Built-In Dishwasher with CleanBoost™",,0.96,https://catalog.mfr.com/spec.pdf,"Grounding verified from spec sheet for SHORT_DESC: 24"" Stainless Steel Tub Built-In Dishwasher with CleanBoost™",cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,MARKETING_DESCRIPTION,"24"" Stainless Steel Tub Built-In Dishwasher with CleanBoost™ Dishwasher",,0.96,https://catalog.mfr.com/spec.pdf,"Grounding verified from spec sheet for MARKETING_DESCRIPTION: 24"" Stainless Steel Tub Built-In Dishwasher with CleanBoost™",cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,ITEM_FEATURES_1,Detergent Dispenser,,0.96,https://catalog.mfr.com/spec.pdf,Grounding verified from spec sheet for ITEM_FEATURES_1: Detergent Dispenser,cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,ITEM_FEATURES_2,Removable Filter Trap,,0.96,https://catalog.mfr.com/spec.pdf,Grounding verified from spec sheet for ITEM_FEATURES_2: Removable Filter Trap,cache,local_cache,pdf_local,CACHED
0,PDSH4816AF,ITEM_FEATURES_3,Hard Food Disposer or Filtration,,0.96,https://catalog.mfr.com/spec.pdf,Grounding verified from spec sheet for ITEM_FEATURES_3: Hard Food Disposer or Filtration,cache,local_cache,pdf_local,CACHED
